Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Tres Artistas de Puerto Rico	Carlos Collazos, Jaime Román,Jaime Suárez	Carlos Collazo, Jaime Román,Jaime Suárez	Puertoriqueña	1989	2	9-feb.				Colectiva		Pintura,Cerámica escultórica		NA					Rotatoria	0040p									
Gráfica OP 69	Carlos Duque	Carlos Duque	Colombiana	1989	2	16-feb.			45 días	Retrospectiva-individual		Fotografía		NA		OP Gráficas,Proartes	Claudia Blum de Barberi, Hugo Sáenz Hurtado, José Saenz Hurtado y Dicken Castro		Sala de la Colección	0063c									
Exposición de Patricia Tavera	Patricia Tavera	Patricia Tavera	Colombiana	1989	3	2-mar.			45 días	Individual		Pintura		NA			Pierre Courcelles		Alterna	0015v									
Paganos y Piadosos	Nancy Friedemann	Nancy Friedemann	Colombiana	1989	3	16-mar.			30 días	Individual		Pintura	Acrílico	NA			Camilo Calderón		Galería-taller	0016v									
Cinco Pintores Abstractos	Danilo Dueñas, Luis Fernando Roldán, Carlos Salas Silva, Santiago Uribe,Luis Fernando Zapata	Danilo Dueñas, Luis Fernando Roldán, Carlos Salas Silva, Santiago Uribe Holguín, Luis Fernando Zapata	Colombiana	1989	3	30-mar.			60 días	Colectiva		Pintura		Miguel González			Miguel González		Rotatoria	0057f									
Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1989	Varios	Varios	Varias	1989	4	Abril				Colectiva		Pintura		Miguel González					Sala de la Colección										
Exposición de Karen Lamassonne	Karen Lamassonne	Karen Lamassonne	Estadounidense	1989	4	18-abr.				Individual	Erotismo y ciudad	Pintura		NA			Miguel González		Galería-taller	0017v									
Exposición de ilustraciones del libro El Beso de Dios	David Manzur	David Manzur	Colombiana	1989	4	19-abr.			15 días	Individual		Ilustración		NA		Internacional de Ediciones			Alterna										
Exposición de Ignacio Gómez Jaramillo	Ignacio Gómez Jaramillo	Ignacio Gómez Jaramillo	Colombiana	1989	5	2-may.				Retrospectiva-individual		Varias		Miguel González		Proartes	Miguel González		Sala de la Colección	0064c									
Exposición de Leo Matiz	Leo Matiz	Leo Matiz	Colombiana	1989	5	4-may.			60 días	Retrospectiva-individual		Fotografía		NA			Miguel González, Álvaro Mutis y Plinio Apuleyo Mendoza		Rotatoria	0065c									
Exposición de Becky Mayer	Becky Mayer	Becky Mayer	Colombiana	1989	5	10-may.			30 días	Individual		NA		NA			Miguel González		Alterna	0018v									
Homenaje a Adalbert Meindl	Lucy Tejada (Colombiana),Leopoldo Richter (Alemana-colombiana)	Lucy Tejada,Leopoldo Richter 	Varias	1989	6	7-jun.			45 días	Colectiva		Pintura, Dibujo,Grabado		Miguel González			Miguel González		Galería-taller	0019v									
Exposición de Beatriz Ángel	Beatriz Ángel	Beatriz Ángel	Colombiana	1989	6	14-jun.			45 días	Individual		Pintura		Miguel González			Miguel González		Alterna	0020v									
Muestra de pintura abstracta latino-americana de la Colección del Museo de Arte Moderno La Tertulia	Fernando de Szyszlo (Peru), Óscar Pantoja (Boliviana), Eduardo McEntyre, Ary Brizzi, Rogelio Polesello, Gabriel Messil, Geny Dignac (Argentina), Jesús Rafaél Soto, Carlos Cruz-Diez (Venenzolana), Maria Thereza Negreiros, Luciano Jaramillo, Jan Bartelsman, Alejandro Obregón, Carlos Rojas (Colombiana),Rubens Gerchman (Brasil)	Fernando de Szyszlo, Óscar Pantoja , Eduardo Mac Entyre, Ary Brizzi, Rogelio Polesello, Gabriel Messil, Geny Dignac , Jesús Rafael Soto, Carlos Cruz-Diez, María Thereza Negreiros, Luciano Jaramillo, Jan Bartelsman, Alejandro Obregón, Carlos Rojas ,Rubens Gerchman 	Varias	1989	7	20-jul.				Colectiva		Pintura		Miguel González					Sala de la Colección										
Blanco y Negro sobre Papel	Varios	Varios	Varias	1989	7	Julio			60 días	Colectiva		Dibujo,Grabado		NA					Rotatoria										
Exposición de Eduardo Audivert y Daniel Zelaya	Eduardo Audivert,Daniel Zelaya	Eduardo Audivert,Daniel Zelaya	Argentina	1989	7	15-jul.				Colectiva		Pintura	Acuarela y tinta	NA					Galería-taller										
Imágenes e Ideas	Luis Camnitzer (Uruguay), Antonio Caro (Colombia), Luis Díaz (Guatemala), Eugenio Dittborn (Chile), León Ferrari (Brasil), José Granco (Cuba), Rolando Peña (Venezuela), Liliana Porter (Argentina), Edward Ruscha (Estados Unidos de América),Geo Ripley (República Dominicana)	Luis Camnitzer , Antonio Caro, Luis Díaz , Eugenio Dittborn , León Ferrari, José Granco , Rolando Peña , Liliana Porter , Edward Ruscha ,Geo Ripley 	Varias	1989	8	Agosto			60 días	Colectiva		Varias		NA					Alterna										
Ficciones	María Teresa Vieco	María Teresa Vieco	Colombiana	1989	9	6-sept.				Individual		Pintura	Acrílico	Pierre Courcelles			Pierre Courcelles		Galería-taller	0021v									
Exposición de Rafael Echeverri y Consuelo Gómez	Rafael Echeverri,Consuleo Gómez	Rafael Echeverri,Consuleo Gómez	Colombiana	1989	10	Octubre				Colectiva		Pintura,Escultura		Miguel González			Miguel González		Rotatoria	0041p									
Exposición de Patricio Reig Isaacs	Patricio Reig Isaacs 	Patricio Reig Isaacs 	Colombiana	1989	10	11-oct.			45 días	Individual		Varias		NA		Casa Negret			Galería-taller	0022v									
