Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Exposición de Pablo Van Wong 2001	Pablo Van Wong	Pablo Van Wong	Colombiana	2001	8	16-ago.				Individual		Instalación		Miguel González					Alterna	0089f									
Amazonas-Putumayo: Los Colores de la Biodiversidad	Maria Thereza Negreiros (Brasil-Colombia),Carlos Jacanamijoy (Colombia)	María Thereza Negreiros,Carlos Jacanamijoy Tisoy 	Varias	2001	8	17-ago.			150 días	Temática-colectiva	La selva amazónica	Pintura		NA			Valerie Frazer y William Ospina		Nuevas Salas	0090f									
Movilización: Objetos para Reunirse	Andréas Aas, Adam Jorg, Dominik Harborth, Ron Arad, Ronan, Erwan Bouroullec, Bass Pression, Claudio Colucci, Matali Craset, Del Lindo, Durlet, El Último Grito, Evansandwong, Adrien Gardere, Kristian Gavoile, Marti Guixé, Richar Hutten, Sophie Larger, Monika Lipken, Jasper Morrison, N.U., Marc Newson, Oliver Peyricot, Martin Prins, Radi Designers, Pucci de Rossi, Milan Simic, Sismo, Philipe Starck,Alexis Tricoire	Andréas Aas, Adam Jorg, Dominik Harborth, Ron Arad, Ronan, Erwan Bouroullec, Bass Pression, Claudio Colucci, Matali Craset, Del Lindo, Durlet, El Último Grito, Evansandwong, Adrien Gardere, Kristian Gavoile, Marti Guixé, Richar Hutten, Sophie Larger, Monika Lipken, Jasper Morrison, N.U., Marc Newson, Oliver Peyricot, Martin Prins, Radi Designers, Pucci de Rossi, Milan Simic, Sismo, Philipe Starck,Alexis Tricoire	Francesa	2001	9	7-sept.				Colectiva		Diseño industrial		Asociación Doc Design de Francia		Alianza Colombo-francesa, Asociación Francesa de Acción Artística, Embajada de Francia,Proartes	Sandra Jaramillo Navarro y Francisco Ramírez Potes		Nuevas Salas	0093c y 0113p									
Exposición de Rosemberg Sandoval	Rosemberg Sandoval	Rosemberg Sandoval	Colombiana	2001	9	12-sept.				Retrospectiva-individual		Instalación,Performance 		NA		Proartes,Feriva	Miguel González		Rotatoria	0094c									
Exposición de Débora Arango 2001	Débora Arango	Débora Arango	Colombiana	2001	9	13-sept.			30 días	Retrospectiva-individual		Pintura		NA		Museo de Arte Moderno de Medellín,Proartes			Sala de la Colección										
Exposición de tapiceria persa y kilims	Varios	Varios		2001	10	25-oct.				Colectiva		Tapicería		NA					Sala de la Colección										
Exposición de Dominique Mazeaud	Dominique Mazeud	Dominique Mazeud	Estadounidense	2001	11	2-nov.			1 día	Individual		Performance		NA		Centro Colombo-americano de Medellín			Jardines del Museo										
Amor y Erotismo	Luis Caballero, Leonel Gongora, Carlos Granada, Ángel Loochkartt, Augusto Rendón, Jim Amaral, Dario Morales, Germán Londoño, Hernán Dario Correa, Alberto Soto, Helio Salcedo, Fernando Maldonado, Luis Cabrera, Leonilda Gonzalez, Eduardo Esparza,Walter Tello	Luis Caballero, Leonel Góngora, Carlos Granada, Ángel Loochkartt, Augusto Rendón, Jim Amaral, Darío Morales, Germán Londoño, Hernán Darío Correa, Alberto Soto, Helio Salcedo, Fernando Maldonado, Luis Cabrera, Leonilda González, Eduardo Esparza,Walter Tello	Varias	2001	12	3-dic.				Temática-colectiva	Amor y erostismo	Pintura, Dibujo,Grabado		Miguel González		Museo de Arte Erótico de Bogotá			Rotatoria										
Paisajes Intervenidos	Ángel Becassino	Ángel Becassino	Argentina	2001	12	Diciembre			30 días	Individual		Fotografía		NA			Miguel González y Nathalie Holzer		Rotatoria	0095c									
Arquitectura de la Memoria	Manuel Hernández	Manuel Hernández	Colombiana	2002	1	24-ene.			30 días	Retrospectiva-individual		Pintura,Dibujo		Alberto Moreno,Jorge Jaramillo		Museo de Arte de Pereira, Museo de Arte Moderno de Medellín, Museo de Arte de Caldas,Ministerio de Cultura	Bélgica Rodríguez, Eduardo Serrano, Roberto Guevara, Alberto Moreno y Jorge Jaramillo		Nuevas Salas	0096c									
Muestra de arte tridimensional latino-americano de la Colección del Museo de Arte Moderno La Tertulia 2002	Marta Minujin, Liliana Porter, Geny Dignac (Argentina), Yutaka Toyota (Japón-Brasil), María Thereza Negreiros (Brasil-Colombia), Jaime Suarez (Puerto Rico), Jesús Rafael Soto, Carlos Cruz-Díez (Venezuela), Hernando Tejada, Omar Rayo, Beatriz González, Bernardo Salcedo, Álvaro Barrios, Olga de Amaral, Alberto Arboleda, Alicia Barney, Carlos Rojas, Nadín Ospina, Hugo Zapata, Antonio Caro, Romulo Rozo, Feliza Bursztyn, Beatriz Daza, Gloria Duncan, Jim Amaral, Pablo Van Wong, Ronny Vayda, Pedro Alcantara, Elías Heim, Jaime Iregui, Jorge Reyes,Consuelo Gómez (Colombia)	Marta Minujín, Liliana Porter, Geny Dignac , Yutaka Toyota, María Thereza Negreiros, Jaime Suárez, Jesús Rafael Soto, Carlos Cruz-Diez, Hernándo Tejada, Ómar Rayo, Beatriz González, Bernardo Salcedo, Álvaro Barrios, Olga de Amaral, Alberto Arboleda, Alicia Barney, Carlos Rojas, Nadín Ospina, Hugo Zapata, Antonio Caro, Rómulo Rozo, Feliza Bursztyn, Beatriz Daza, Gloria Duncan, Jim Amaral, Pablo Van Wong, Ronny Vayda, Pedro Alcántara, Elías Heim, Jaime Iregui, Jorge Reyes,Consuelo Gómez 	Varias	2002	1	Enero				Colectiva		Escultura,Objetos		Miguel González					Nuevas Salas										
Frida Khalo y Diego Rivera: Una Sonrisa a Mitad del Camino	Varios	Varios	Varias	2002	3	Marzo			30 días	Colectiva		Fotografía		NA		Ministerio de Cultura, Consejo Nacional para la Cultura y las Artes de México, Instituto Nacional de Bellas Artes de México, Museo Casa-estudio de Diego Rivera y Frida Khalo													
Texto y Textualidad	Eugenio Dittborn, Jose Balmes (Chile), Julio Le Parc, Liliana Porter (Argentina), Antonio Frasconi, Luis Camnitzer (Uruguay), Herman Braun-Vega (Perú), Rubens Gerchman (Brasil), Jim Dine, Richard Linder, Robert Indiana, Joseph Kosuth, Robert Nelson, Robert Rauschemberg, Andy Warhol (Estados Unidos), Fernando Arias, Lucy Tejada, Antonio Caro, Alvaro Barrios, Jonier Marín, Rafael Ortiz,Tomas Reyes (Colombia)	Eugenio Dittborn, José Balmes, Julio Le Parc, Liliana Porter , Antonio Frasconi, Luis Camnitzer , Herman Braun-Vega, Rubens Gerchman , Jim Dine, Richard Lindner, Robert Indiana, Joseph Kosuth, Robert Nelson, Robert Rauschenberg, Andy Warhol, Fernando Arias, Lucy Tejada, Antonio Caro, Álvaro Barrios, Jonier Marín, Rafael Ortiz,Tomas Reyes 	Varias	2002	3	14-mar.			30 días	Colectiva		Pintura, Dibujo, Arte Gráfico, Video,correo electrónico 		Miguel González		Ministerio de Cultura	Miguel González		Sala de la Colección	0114p									
Muestra de arte colombiano de la Colección del Museo de Arte Moderno La Tertulia 2002	Pedro Alcántara, Álvaro Barrios, Luis Caballero, Santiago Cardenas, Leonel Gongora,Beatriz Gonzalez	Pedro Alcántara, Álvaro Barrios, Luis Caballero, Santiago Cardenas, Leonel Góngora,Beatriz González	Colombiana	2002	4	18-abr.			60 días	Colectiva		Pintura 		Miguel González		Ministerio de Cultura			Nuevas Salas										
Naturaleza y Paisaje	Ricardo Borrero, Jesús María Zamora, Ignacio Gómez Jaramillo, Marco Ospina, Gonzalo Ariza, Santiago Martinez, Ricardo Gómez Campuzano, Hernando Tejada, Fernando Botero, Emma Reyes, María Thereza Negreiros, Gregorio Cuartas, Antonio Barrera, Hernando del Villar, Luis Fernando Escobar, Carlos Jacanamijoy, Alicia Barney, María Cristina Cortés, Diego Mazuera, Ana María Rueda, Bibiana Velez, Antonio Caro, Catalina Mejia, Maria Clara Piñeyro, Jean Gabriel Thenot, Marta Lucia Villafañe, Ana Velasco, Leitón Rodriguez, Alberto Lenis, Otto Moll, Antonio Segui, Noe Nojechowiz, Hilda Crovo, Sammy Benmayor, Francisco de la Puente, José Gamarra, Mariano Rodriguez, Tonel, Jaime Suarez, David Alfaro Siqueiros, Carol Summers, David Becker, Peter Milton, Ernest Trova, Robert Kipniss,Kenjilo Nanao	Ricardo Borrero, Jesús María Zamora, Ignacio Gómez Jaramillo, Marco Ospina, Gonzalo Ariza, Santiago Martínez Delgado, Ricardo Gómez Campuzano, Hernándo Tejada, Fernando Botero, Emma Reyes, María Thereza Negreiros, Gregorio Cuartas, Antonio Barrera, Hernándo del Villar, Luis Fernando Escobar, Carlos Jacanamijoy Tisoy, Alicia Barney, María Cristina Cortés, Diego Mazuera, Ana María Rueda, Bibiana Vélez, Antonio Caro, Catalina Mejía, María Clara Piñeyro, Jean Gabriel Thenot, Marta Lucía Villafañe, Ana Velasco, Leitón Rodriguez, Alberto Lenis Burckhardt, Otto Moll González, Antonio Seguí, Noé Nojechowicz, Hilda Crovo, Sammy Benmayor, Francisco De La Puente, José Gamarra, Maríano Rodriguez, Tonel, Jaime Suárez, David Alfaro Siqueiros, Carol Summers, David Becker, Peter Milton, Ernest Trova, Robert Kipniss,Kenjilo Nanao	Varias	2002	5	Mayo			60 días	Temática-colectiva	Naturaleza y paisajes	Pintura		Miguel González		Ministerio de Cultura	Miguel González		Sala de la Colección y Rotatoria	0115p									
Exposición de Jan Bartelsman 2002	Jan Bartelsman 	Jan Bartelsman 	Holandesa-colombiana	2002	6	6-jun.			90 días	Retrospectiva-individual		Pintura		Miguel González		Ministerio de Cultura	Miguel González, Lucy Tejada, Maria Thereza Negreiros, Hernando Tejada y Pedro Alcántara		Sala de la Colección	0091f									
Exposición de carteles cinematográficos alemanes	Varios	Varios	Alemana	2002	6	6-jun.			30 días	Colectiva		Cartel		Cinemateca de Berlín 		Ministerio de Cultura, Embajada de Alemania , Instituto Goethe de Bogotá													
V Festival de Performance	Varios	Varios	Varias	2002	6	8-jun.			1 día	Colectiva		Performance		NA					Jardines del Museo										
Paisaje de la Movilidad: Muestra de Arquitectura Contemporánea Francesa	Varios	Varios	Francesa	2002	7	6-jul.			45 días	Colectiva		Fotografía		NA		Asociación Francesa de Acción Artística, Dirección de Arquitectura del Ministerio de Cultura y Comunicaciones de Francia, AFEX, Alianza Colombo-francesa , Ministerio de Cultura			Nuevas Salas										
Distancia y Proximidad	Bernd Becher, Hilla Becher, Andrea Gursky, Candida Hofer, Alex Hutte, Simone Meweg,Thomas Ruff, Jorg Sasse, Thomas Struth,Peter Winderlich	Bernd Becher, Hilla Becher, Andrea Gursky, Candida Hofer, Alex Hutte, Simone Meweg,Thomas Ruff, Jorg Sasse, Thomas Struth,Peter Winderlich	Alemana	2002	7	18-jul.			30 días	Colectiva		Fotografía		NA		Insituto Goethe de Bogota,Ministerio de Cultura			Nuevas Salas										
Exposición de arte colonial de la Capilla de San Juan Bautista de Bohío Toro	Varios	Varios	Varias	2002	7	11-jul.			15 días			Pintura, Escultura,Objetos		NA		Fondo Mixto para la Promoción de la Cultura y las Artes del Valle del Cauca			Alterna										
Exposición de arte gráfico francés	Alberola, Armleder, Ben, Bertrand, B.P., Bruetschy, Collin-Thibault, Di Rosa, Gette, Levier, Le Gac, Mosset, Parant, Quesniaux, Rousselot, Soutie, Titus-Carmel,Weisner	Alberola, Armleder, Ben, Bertrand, B.P., Bruetschy, Collin-Thibault, Di Rosa, Gette, Levier, Le Gac, Mosset, Parant, Quesniaux, Rousselot, Soutie, Titus-Carmel,Weisner	Francesa	2002	8	Agosto			30 días	Colectiva		Arte Gráfico		NA		Asociación Francesa de Acción Artística, Embajada de Francia, Ministerio de Cultura, Secretaría de Cultura y Turismo de Cali			Nuevas Salas										
Exposición de Antonio Caro	Antonio Caro	Antonio Caro	Colombiana	2002	9	5-sept.			90 días	Retrospectiva-individual		Arte Gráfico		NA		Secretaría de Cultura y Turismo de Cali , Ministerio de Cultura	Maritza Uribe de Urdinola y Miguel González		Sala de la Colección	0097c									
Tres Fotográfos de la República Popular China	Lin Jinghua, Tang Desheng,Zheng Yunfeg	Lin Jinghua, Tang Desheng,Zheng Yunfeg	China	2002	9	19-sept.			90 días	Colectiva		Fotografía		NA		Embajada de China, Ministerio de Cultura, Secretaría de Cultura y Turismo de Cali , Corporación para la Cultura de Cali	Miguel González		Nuevas Salas	0116p									
Exposición de mujeres artistas colombianas	Olga de Amaral, Deborah Arango, Beatriz Daza, Beatriz Gonzalez, Ana Mercedes Hoyos, Maria de la Paz Colombiana, Maria Thereza Negreiros,Lucy Tejda	Olga de Amaral, Deborah Arango, Beatriz Daza, Beatriz González, Ana Mercedes Hoyos, María de la Paz Colombiana, María Thereza Negreiros,Lucy Tejada	Colombiana	2002	9	20-sept.			8 días	Colectiva		Pintura		Miguel González		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Alterna										
Acotaciones entorno a la Fotografía	Pablo Adarme, Jaime Avila, John Freddy Cardona, Alvaro Ricardo Herrera, Libia Posada, Maria Isabel Rueda, Giovanny Vargas, Jim Fannkugen, Beatriz Grau,Guillermo Marín	Pablo Adarme, Jaime Ávila, John Freddy Cardona, Álvaro Ricardo Herrera, Libia Posada, María Isabel Rueda, Giovanny Vargas, Jim Fannkugen, Beatriz Grau,Guillermo Marín	Colombiana	2002	9	3-sept.			60 días	Colectiva		Fotografía		NA		Secretaría de Cultura y Turismo de Cali ,Ministerio de Cultura	Miguel González		Nuevas Salas	0098c									
Exposición de tapicería persa	Varios	Varios		2002	10	10-oct.				Colectiva		Tapicería		NA					Rotatoria										
Exposición de Jaime Cárdenas	Jaime Cárdenas	Jaime Cárdenas	Colombiana	2002	11	14-nov.			50 días	Retrospectiva-colectiva		Arquitectura	Dibujo, fotografía, planos y maquetas 	Francisco Ramírez Potes		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali	Sandra Jaramillo Navarro y Francisco Ramírez Potes		Rotatoria	0117p									
Arquitectura Moderna en Colombia: Época de Oro	Varios	Varios	Colombiana	2002	11	14-nov.				Colectiva		Arquitectura	Dibujo, fotografía y planos 	Dirección de Patrimonio del Ministerio de Cultura		Ministerio de Cultura			Sala de la Colección										
Vibraciones	Julio Le Parc, Geny Dignac, Ary Brizzy, Eduardo McEntyre, Rogelio Polesello (Argentina), Arcangelo Ianelli (Brasil), Yutaka Toyota (Japón-Brasil), Jesús Rafaél Soto, Carlos Cruz-Díez , Luis Chacón, Manuel Espinoza, Gego, Mateo Manaure, Alejandro Otero, Victor Valera (Venezuela), Vicente Rojo, Arnaldo Cohen (México), Ed Ruscha, Allan D´Arcangello, Al Held, Ellsworth Kelly, Hebert Bayer, John McLaughlin (Estados Unidos), Omar Rayo, Carlos Rojas, Rafael Echeverri,Jaime Iregui (Colombia)	Julio Le Parc, Geny Dignac, Ary Brizzi, Eduardo Mac Entyre, Rogelio Polesello , Arcangelo Ianelli, Yutaka Toyota, Jesús Rafael Soto, Carlos Cruz-Diez , Luis Chacón, Manuel Espinoza, Gego, Mateo Manaure, Alejandro Otero, Víctor Varela, Vicente Rojo, Arnaldo Coen, Ed Ruscha, Allan D'Arcangelo, Al Held, Ellsworth Kelly, Hebert Bayer, John McLaughlin, Ómar Rayo, Carlos Rojas, Rafael Echeverri,Jaime Iregui 	Varias	2002	12	Diciembre				Colectiva		Pintura, Escultura, Dibujo,Arte Gráfico		NA		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Nuevas Salas										
Muestra de arte colombiano de los años 90 de la Colección de Museo de Arte Moderno La Tertulia	Pablo Van Wong, Nadín Ospina, Jonier Marín, Rafael Ortiz, Jorge Julian Aristizabal, Miguel Bohmer, Danilo Dueñas, Marta Lucía Villafañe, Jean Gabriel Thenot, Lus Angela Lizarazo, Elías Heim, José Horacio Martinez, Juan Mejia, Wilson Díaz, Jaime Ávila,Wilmer Garcia	Pablo Van Wong, Nadín Ospina, Jonier Marín, Rafael Ortiz, Jorge Julián Aristizábal, Miguel Bohmer, Danilo Dueñas, Marta Lucía Villafañe, Jean Gabriel Thenot, Luz Ángela Lizarazo, Elías Heim, José Horacio Martínez, Juan Mejia, Wilson Díaz, Jaime Ávila,Wilmer García	Colombiana	2002	12	Diciembre				Colectiva		Varias		Miguel González		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Sala de la Colección										
Tauromaquia	Francisco de Goya	Francisco de Goya	Española	2003	1	23-ene.			68 días	Temática-individual	Tauromaquia	Grabado		NA		Secretaría de Cultura y Turismo de Cali			Sala de la Colección										
La María y Otras Series	Juan Manuel Echavarría	Juan Manuel Echavarría	Colombiana	2003	2	13-feb.			30 días	Retrospectiva-individual		Fotografía,Video		NA			Miguel González		Nuevas Salas	0092f									
Homenaje a Marta Traba	Francis Bacon, Willem de Kooning, José Luis Cuevas, Francisco Rondón, Alejandro Obregón, Fernando Botero, Édgar Negret, Eduardo Ramírez Villamizar, Enrique Grau, Guillermo Widemann, Beatriz González, Pedro Alcántara, Beatriz Daza, Hernando Tejada, Feliza Busztyn, Olga de Amaral, Hernán Díaz, Santiago Cárdenas, Bernardo Salcedo,Luis Caballero	Francis Bacon, Willem de Kooning, José Luis Cuevas, Francisco Rodón, Alejandro Obregón, Fernando Botero, Édgar Negret, Eduardo Ramírez Villamizar, Enrique Grau, Guillermo Wiedemann, Beatriz González, Pedro Alcántara, Beatriz Daza, Hernándo Tejada, Feliza Bursztyn, Olga de Amaral, Hernán Díaz, Santiago Cárdenas, Bernardo Salcedo,Luis Caballero	Varias	2003	2	27-feb.				Colectiva		Pintura, Escultura, Dibujo,Arte Gráfico		Miguel González		Dirección de Cultura de Cali,Ministerio de Cultura	Miguel González		Rotatoria	0118p									
Exposición de Elías Heim 2003	Elías Heim	Elías Heim	Colombiana	2003	3	20-mar.				Individual		Arte Gráfico, Objetos, Video,Instalación		NA		Dirección de Cultura de Cali,Ministerio de Cultura	Miguel González		Sala de la Colección										
Homenaje a Ruquita	Varios	Varios	Colombiana	2003	3	27-mar.				Colectiva		Varias		NA					Taller Infantil										
Exposición conmemorativa de los 10 años de vida del Taller de Restauración del Museo de Arte Moderno La Tertulia	Varios	Varios	Varias	2003	4	10-abr.				Colectiva		Varias		Miguel González					Nuevas Salas										
Maestros Colombianos a través del Dibujo	Pedro Alcántara, Ever Astudillo, Álvaro Barrios, Luis Caballero, Santiago Cárdenas, Antonio Caro, Beatriz González, Enrique Grau, Elías Heim, María de la Paz Jaramillo, Cristina Llano, Darío Morales, Óscar Muñoz, Alejandro Obregón, Eduardo Ramírez Villamizar, Saturnino Ramírez, Miguél Ángel Rojas, Rosemberg Sandoval, Lucy Tejada,Gustavo Zalamea	Pedro Alcántara, Ever Astudillo, Álvaro Barrios, Luis Caballero, Santiago Cárdenas, Antonio Caro, Beatriz González, Enrique Grau, Elías Heim, María de la Paz Jaramillo, Cristina Llano, Darío Morales, Óscar Muñoz, Alejandro Obregón, Eduardo Ramírez Villamizar, Saturnino Ramírez, Miguel Ángel Rojas, Rosemberg Sandoval, Lucy Tejada,Gustavo Zalamea	Colombiana	2003	4	Abril				Colectiva		Dibujo		Miguel González		Banco de la República	Miguel González			0119p									
Riesgo	Carlos Andrade (Colombia),Todd Ayoung (Trinidad)	Carlos Andrade ,Todd Ayoung 	Varias	2003	4	24-abr.				Colectiva		Objetos, Video, Instalación	Cajas luminosas	NA		Dirección de Cultura de Cali,Ministerio de Cultura	Miguel González y Carsten Juhl		Rotatoria	0093f									
Exposición de Francois Dolmetsch 2003	Francois Dolmetsch	Francois Dolmetsch	Británica-colombiana	2003	5	29-may.			60 días	Retrospectiva-individual		Fotografía	Fotografía	NA					Sala de la Colección										
Muestra de arte gráfico latino-americano de la Colección del Museo de Arte Moderno La Tertulia 2003	Varios	Varios	Varias	2003	6	Junio			60 días	Colectiva		Arte Gráfico	Xilografía, litografía y serigrafía	Miguel González					Nuevas Salas										
Exposición de documentos fotográficos de Werner Herzog	Werner Herzog	Werner Herzog	Alemana	2003	6	5-jun.			15 días	Retrospectiva-individual		Fotografía		NA		Instituto Goethe de Bogotá			Nuevas Salas										
Europeos en París	Jean-Christoph Ballot, Jerome Brézillon, Thibaut Cuisset, Marc Melki, Patrick Messina, Michel Séméniako, Pascal Dolémieux, Daniel Maigné, Grégoire Korganow, Mi-Hyun Kim, Marie-Paule Négre,Martine Voyeux	Jean-Christoph Ballot, Jerome Brézillon, Thibaut Cuisset, Marc Melki, Patrick Messina, Michel Séméniako, Pascal Dolémieux, Daniel Maigné, Grégoire Korganow, Mi-Hyun Kim, Marie-Paule Négre,Martine Voyeux	Varias	2003	7	10-jul.				Colectiva		Fotografía		Asociación Francesa de Acción Artística		Alianza Colombo-francesa,Corporación para la Cultura de Cali			Nuevas Salas	0120p									
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 2003	Varios	Varios	Varias	2003	7	Julio				Colectiva		Pintura,Escultura		Miguel González					Nuevas Salas										
Exposición de Martín Chambi	Martín Chambi	Martín Chambi	Peruana	2003	8	21-ago.				Retrospectiva-individual		Fotografía		NA		Convenio Andrés Bello, Proartes, Embajada del Perú, Foto-Museo de Bogotá, Ministerio de Cultura,Banco de Colombia	Gilma Suárez		Nuevas Salas	0121p									
Grabados: 1942-2002	Enrique Grau	Enrique Grau	Colombiana	2003	9	10-sept.			60 días	Retrospectiva-individual		Grabado	Serigrafía, xilografía y litografía	NA		Proartes, Ministerio de Cultura,Banco de Colombia	Germán Rubiano Caballero		Rotatoria	0122p									
Ariza, Pintor de los Andes	Gonzalo Ariza	Gonzalo Ariza	Colombiana	2003	9	9-sept.			30 días	Retrospectiva-individual		Pintura		NA		Ministerio de Cultura, Deprisa, CERLAC, Aviatur, Proartes,Banco de Colombia			Sala de la Colección										
X Salón Regional - Zona Sur	Alexandra Rodríguez, Camilo Pineda, Ángela Villegas, Carmenza Estrada, Carlos Zúñiga, Alejandro Nieto, Wilmer García, Ximena Medina, Leonardo Herrera, Carolina Llano, Guillermo Marín, Ana María Millán, Ellen Martan, Luz Ángela Echeverri,Lucía Hincapié	Alexandra Rodríguez, Camilo Pineda, Ángela Villegas, Carmenza Estrada, Carlos Zúñiga, Alejandro Nieto, Wilmer García, Ximena Medina, Leonardo Herrera, Carolina Llano, Guillermo Marín, Ana María Millán, Ellen Martan, Luz Ángela Echeverri,Lucía Hincapié	Colombiana	2003	11	4-nov.			30 días	Colectiva		Pintura, Fotografía, Instalación, Video,Performance 		NA		Cámara de Comercio de Cali			Sala de la Colección, Rotatoria y Alterna										
Una Mirada Intimista al Arte Colombiano	Ricardo Borrero, Jesús María Zamora, Marco Tobón Mejía, Rómulo Rozo, Efraim Martínez, Pedro Nel Gómez, Ignacio Gómez Jaramillo, Carlos Correa, Débora Arango, Gonzalo Ariza, Marco Ospina, Otto Moll, Alejandro Obregón, Édgar Negret, Guillermo Wiedemann, Eduardo Ramírez Villamizar, Fernando Botero, Enrique Grau, Hernando Tejada, Hernán Díaz, Lucy Tejada, Juan Antonio Roda, Carlos Rojas, Feliza Bursztyn, Jim Amaral, Alvaro Barrios, Beatriz González, Bernardo Salcedo, Beatriz Daza, Santiago Cárdenas, Augusto Rendón, Pedro Alcántara, Óscar Muñoz, Ever Astudillo, Fernell Franco, María de la Paz Jaramillo, Alicia Barney, Rosemberg Sandoval, Giovanni Vargas, Pablo Van Wong, Consuelo Gómez, Elías Heim, Eduardo Carvajal, Wilson Díaz, Juan Mejía, Becky Mayer, Jorge Reyes, Jaime Ávila, Lalo Borja, Leonardo Herrera, Juan Manuel Echavarría,Wilmer García	Ricardo Borrero, Jesús María Zamora, Marco Tobón Mejía, Rómulo Rozo, Efraim Martínez, Pedro Nel Gómez, Ignacio Gómez Jaramillo, Carlos Correa, Débora Arango, Gonzalo Ariza, Marco Ospina, Otto Moll González, Alejandro Obregón, Édgar Negret, Guillermo Wiedemann, Eduardo Ramírez Villamizar, Fernando Botero, Enrique Grau, Hernándo Tejada, Hernán Díaz, Lucy Tejada, Juan Antonio Roda, Carlos Rojas, Feliza Bursztyn, Jim Amaral, Álvaro Barrios, Beatriz González, Bernardo Salcedo, Beatriz Daza, Santiago Cárdenas, Augusto Rendón, Pedro Alcántara, Óscar Muñoz, Ever Astudillo, Fernell Franco, María de la Paz Jaramillo, Alicia Barney, Rosemberg Sandoval, Giovanni Vargas, Pablo Van Wong, Consuelo Gómez, Elías Heim, Eduardo Carvajal, Wilson Díaz, Juan Mejía, Becky Mayer, Jorge Reyes, Jaime Ávila, Lalo Borja, Leonardo Herrera, Juan Manuel Echavarría,Wilmer García	Colombiana	2003	12	Diciembre				Retrospectiva-colectiva		Pintura, Escultura, Dibujo, Arte Gráfico, Fotografía,Objetos		Miguel González		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali	Miguel González		Nuevas Salas	0123p									
Gráfica Norte-americana	Will Barnet, Leonard Baskin, David Becker, James Brown, Alexander Calder, Chuck Close, Warrigton Colescott, Allan D´Arcangelo, Willem de Kooning, Jime Dine, Sam Francis, Al Held, Robert Indiana, John Paul Jones, Ellsworth Kelly, Robert Kipniss, Joseph Kosuth, Roy Lichtenstein, Richard Lindner, John Mc Laughlin, Peter Milton,  Robert Motherwell, Kenjilo Nanao, Robert Nelson, Louise Nelson, Tom O´Connor, Henry Pearson, Gabor Peterdi, Robert Rauschenberg, Man Ray, Charles Roth, Edward Ruscha, Ernest Trova, Andy Warhol, Saul Steinberg, Carol Summers, William Weege,Richard Ziemann	Will Barnet, Leonard Baskin, David Becker, James Brown, Alexander Calder, Chuck Close, Warrington Colescott, Allan D'Arcangelo, Willem de Kooning, Jim Dine, Sam Francis, Al Held, Robert Indiana, John Paul Jones, Ellsworth Kelly, Robert Kipniss, Joseph Kosuth, Roy Lichtenstein, Richard Lindner, John McLaughlin, Peter Milton,  Robert Motherwell, Kenjilo Nanao, Robert Nelson, Louise Nelson, Thom O'Connor, Henry Pearson, Gabor Peterdi, Robert Rauschenberg, Man Ray, Charles Roth, Edward Ruscha, Ernest Trova, Andy Warhol, Saul Steinberg, Carol Summers, William Weege,Richard Ziemann	Estadounidense	2003	12	Diciembre				Retrospectiva-colectiva		Arte Gráfico		NA		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali	Miguel González		Sala de la Colección	0124p									
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 2004	Varios	Varios	Varias	2003	12	Diciembre				Retrospectiva-colectiva		Pintura,Escultura		Miguel González		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Rotatoria										
Exposición de Kim Mansera	Kim Mansera	Kim Mansera	Española	2004	2	19-feb.			60 días	Individual		Fotografía		NA		Embajada de España, Agencia Española de Cooperación Internacional , Secretaría de Cultura y Turismo de Cali			Nuevas Salas										
República de la Palabra	Isidro Ferrer, Arnal Ballester, Pep Carrió, Raúl,Sonia Sánchez 	Isidro Ferrer, Arnal Ballester, Pep Carrió, Raúl,Sonia Sánchez 	Española	2004	2	19-feb.			60 días	Colectiva		Ilustración		NA		Embajada de España, Agencia Española de Cooperación Internacional , Secretaría de Cultura y Turismo de Cali			Nuevas Salas										
