id_nodo	nombre_nodo	ano_apa	subclass	attr	class_nodo
a.546	Francesc Artigau		España	1	artista
a.547	Flor María Bouhot		Colombia	1	artista
a.548	Flavio Garciandía	1954	Cuba	1	artista
a.549	Fernando Arias		Colombia	1	artista
a.550	Fernando Cepeda		Colombia	1	artista
a.551	Fernando García Ponce		México	1	artista
a.552	Fernando Grillon		Paraguay	1	artista
a.553	Fernando Ramos Prida		México	1	artista
a.554	Fernando Tovar		Colombia	1	artista
a.555	Fernando Vilchis		México	1	artista
a.556	Félix Beltrán		Cuba	1	artista
a.557	Feliciano Bejar		México	1	artista
a.558	Federico Cantu		México	1	artista
a.559	Federico Orozco		Colombia	1	artista
a.560	Fanny Sanín		Colombia	1	artista
a.561	Fabiola Roncancio		Colombia	1	artista
a.562	Fabio Daza		Colombia	1	artista
a.563	Fabio Serrano		Colombia	1	artista
a.564	Fabián Rendón		Colombia	1	artista
a.565	Ever Fonseca		Cuba	1	artista
a.566	Ernesto Barreda		Chile	1	artista
a.567	Ernest Trova	1927	Estados Unidos	1	artista
a.568	Broglia		Uruguay	1	artista
a.569	Enrique Buenaventura		Colombia	1	artista
a.570	Enrique Sánchez		Colombia	1	artista
a.571	Enrique Tábara		Ecuador	1	artista
a.572	Emilio Ortiz		México	1	artista
a.573	Emilio Scanavino		Italia	1	artista
